Nama Produk,Variasi,COGS (RM),Kos Pembungkusan (RM),Yuran Chip 2.5%,Jumlah Kos,Harga TikTok (RM),Harga Cadangan Website (RM),Margin Bersih (RM),Margin %
NOTA:,,,,,"Formula: Harga Website - COGS - Pembungkusan - Chip fee",,,"Tiada komisyen platform = margin lebih tinggi ~8-12% vs TikTok"
,,,,,,,,
Fresh Figs Turkey,3 pack,27.6,2.0,1.43,31.03,57.0,57.0,25.97,45.6%
Hami Melon,1 biji,11.0,2.0,0.48,13.48,19.0,19.0,5.52,29.1%
Hami Melon,2 biji,22.0,2.0,0.88,24.88,35.0,35.0,10.12,28.9%
Hami Melon,3 biji,33.0,3.0,1.43,37.43,57.0,57.0,19.57,34.3%
Crimson Grapes Australia,500g,5.6,2.0,0.35,7.95,14.0,14.0,6.05,43.2%
Crimson Grapes Australia,1kg,11.2,2.0,0.55,13.75,22.0,22.0,8.25,37.5%
Crimson Grapes Australia,2kg,22.4,3.0,1.12,26.52,45.0,45.0,18.48,41.1%
Sweet Globe,500g,12.0,2.0,0.6,14.6,24.0,24.0,9.4,39.2%
Sweet Globe,1kg,24.0,2.0,1.12,27.12,45.0,45.0,17.88,39.7%
Sweet Globe,2kg,48.0,3.0,1.98,52.98,79.0,79.0,26.02,32.9%
Shine Muscat,1 pack,6.0,2.0,0.28,8.28,11.0,11.0,2.72,24.7%
Shine Muscat,3 pack,18.0,2.0,0.8,20.8,32.0,32.0,11.2,35.0%
Shine Muscat,5 pack,30.0,2.0,1.25,33.25,50.0,50.0,16.75,33.5%
Autumn Crisp Chile,500g,25.0,2.0,1.12,28.12,45.0,45.0,16.88,37.5%
Autumn Crisp Chile,1kg,50.0,2.0,1.98,53.98,79.0,79.0,25.02,31.7%
Autumn Crisp Chile,2kg,100.0,3.0,3.73,106.73,149.0,149.0,42.27,28.4%
Midnight Beauty Egypt,500g,9.0,2.0,0.48,11.48,19.0,19.0,7.52,39.6%
Midnight Beauty Egypt,1kg,18.0,2.0,0.88,20.88,35.0,35.0,14.12,40.3%
Midnight Beauty Egypt,2kg,36.0,3.0,1.62,40.62,65.0,65.0,24.38,37.5%
Donut Peach Turkey,1 pack,17.0,2.0,0.55,19.55,22.0,22.0,2.45,11.1%
Donut Peach Turkey,3 pack,51.0,2.0,1.62,54.62,65.0,65.0,10.38,16.0%
Donut Peach Turkey,5 pack,85.0,2.0,2.62,89.62,105.0,105.0,15.38,14.6%
Green Kiwi Zespri,1 pack 4pcs,10.8,2.0,0.53,13.33,21.0,21.0,7.67,36.5%
Green Kiwi Zespri,3 pack,32.4,2.0,1.48,35.88,59.0,59.0,23.12,39.2%
Green Kiwi Zespri,5 pack,54.0,2.0,2.23,58.23,89.0,89.0,30.77,34.6%
Blueberry Jumbo CN,1 pack,9.2,2.0,0.43,11.63,17.0,17.0,5.37,31.6%
Blueberry Jumbo CN,3 pack,27.6,2.0,1.12,30.72,45.0,45.0,14.28,31.7%
Blueberry Jumbo CN,5 pack,46.0,2.0,1.73,49.73,69.0,69.0,19.27,27.9%
Aprikot Turkey (Fresh),1 pack,-,2.00,-,-,29.00,29.00,-,-
Aprikot Turkey (Fresh),3 pack,-,2.00,-,-,79.00,79.00,-,-
Aprikot Turkey (Fresh),5 pack,-,2.00,-,-,125.00,125.00,-,-
Persimmon SA,1 pack,-,2.00,-,-,19.00,19.00,-,-
Persimmon SA,2 pack,-,2.00,-,-,33.00,33.00,-,-
Persimmon SA,3 pack,-,2.00,-,-,42.00,42.00,-,-
Red Apple New Zealand,3 biji,1.75,1.5,0.23,3.48,9.0,9.0,5.52,61.3%
Red Apple New Zealand,5 biji,5.3,2.0,0.35,7.65,14.0,14.0,6.35,45.4%
Red Apple New Zealand,10 biji,10.6,2.0,0.62,13.22,25.0,25.0,11.78,47.1%
Packham Pear China,3 biji,2.35,1.5,0.23,4.08,9.0,9.0,4.92,54.7%
Packham Pear China,5 biji,3.9,2.0,0.35,6.25,14.0,14.0,7.75,55.4%
Packham Pear China,10 biji,7.8,2.0,0.62,10.42,25.0,25.0,14.58,58.3%
Forella Pear,1 biji,1.8,1.5,0.15,3.45,6.0,6.0,2.55,42.5%
